"gene_id","tSNE1","tSNE2","DGI_label","DGI_sub_label","Kmeans_label","Kmeans_subcel_label","HC_label"
"g_24965",25.1821901697834,15.8900159460375,"Cluster 4","Cluster 5","Cluster 6","Cluster 2","Cluster 1"
"g_24966",-7.27906605724521,6.60460493506688,"Cluster 3","Cluster 7","Cluster 6","Cluster 2","Cluster 1"
"g_24967",0.555218691452488,-35.6701775642855,"Cluster 1","Cluster 3","Cluster 4","Cluster 5","Cluster 1"
"g_24968",16.1743724932975,-32.8906190171056,"Cluster 1","Cluster 3","Cluster 5","Cluster 6","Cluster 1"
"g_24969",-33.4514887986251,-19.9463944695874,"Cluster 2","Cluster 4","Cluster 1","Cluster 1","Cluster 3"
"g_24971",21.8975674085341,-4.18155414448834,"Cluster 4","Cluster 5","Cluster 4","Cluster 5","Cluster 1"
"g_24972",33.3912023752293,18.5682040338053,"Cluster 4","Cluster 5","Cluster 6","Cluster 2","Cluster 1"
"g_24973",-7.5985451079623,-10.7663505713117,"Cluster 1","Cluster 3","Cluster 4","Cluster 6","Cluster 1"
"g_24974",-13.0695747677687,-35.8238603834689,"Cluster 1","Cluster 3","Cluster 4","Cluster 5","Cluster 1"
"g_24977",0.880025377395684,30.0031850764658,"Cluster 7","Cluster 1","Cluster 3","Cluster 3","Cluster 3"
"g_24980",34.489535811583,-24.1611384898783,"Cluster 1","Cluster 3","Cluster 5","Cluster 5","Cluster 1"
"g_24988",10.8154044858214,-12.6996823070929,"Cluster 1","Cluster 3","Cluster 4","Cluster 5","Cluster 1"
"g_24990",42.6842132018169,12.0385447564767,"Cluster 4","Cluster 5","Cluster 5","Cluster 5","Cluster 1"
"g_24991",16.0181550880516,-17.1392432891877,"Cluster 1","Cluster 3","Cluster 5","Cluster 6","Cluster 1"
"g_24993",18.2090047463013,-5.52426014276533,"Cluster 1","Cluster 3","Cluster 4","Cluster 5","Cluster 1"
"g_24995",-22.611942084298,-23.5179995679608,"Cluster 5","Cluster 6","Cluster 1","Cluster 4","Cluster 3"
"g_24996",16.6796718584598,-12.357233481618,"Cluster 4","Cluster 3","Cluster 4","Cluster 6","Cluster 1"
"g_24997",-19.2195998593333,-21.7892229013686,"Cluster 5","Cluster 6","Cluster 1","Cluster 4","Cluster 3"
"g_25000",17.1544002740725,7.58700097424321,"Cluster 4","Cluster 5","Cluster 4","Cluster 6","Cluster 1"
"g_25003",26.3554710406525,34.7411372821788,"Cluster 4","Cluster 5","Cluster 6","Cluster 2","Cluster 1"
"g_25004",28.6200899399323,2.51089933590589,"Cluster 4","Cluster 5","Cluster 4","Cluster 5","Cluster 1"
"g_25006",-2.07727299560598,-26.9518555304278,"Cluster 1","Cluster 3","Cluster 4","Cluster 5","Cluster 1"
"g_25007",-42.8308759035493,-17.1774415262424,"Cluster 2","Cluster 4","Cluster 7","Cluster 1","Cluster 2"
"g_25010",21.4230791559675,32.692786748232,"Cluster 6","Cluster 2","Cluster 6","Cluster 2","Cluster 1"
"g_25014",-29.2240517945012,12.9382253801843,"Cluster 3","Cluster 7","Cluster 6","Cluster 7","Cluster 1"
"g_25016",20.0801172717832,1.40106393162047,"Cluster 1","Cluster 3","Cluster 4","Cluster 5","Cluster 1"
